% Cell temperature for the location [die3, x=0.000,y=0.000]
% Nearest [column, row] indices found= [0,0] (locations [x=0.000,y=0.000])
% Time(s) 	 Temperature(K)
0.002000 	 303.473
0.004000 	 305.175
0.006000 	 306.030
0.008000 	 306.464
0.010000 	 306.687
0.012000 	 306.801
0.014000 	 306.861
0.016000 	 306.891
0.018000 	 306.907
0.020000 	 306.916
0.022000 	 306.920
0.024000 	 306.922
0.026000 	 306.923
0.028000 	 306.924
0.030000 	 306.924
0.032000 	 306.924
0.034000 	 306.924
0.036000 	 306.924
0.038000 	 306.924
0.040000 	 306.924
0.042000 	 306.924
0.044000 	 306.924
0.046000 	 306.924
0.048000 	 306.924
0.050000 	 306.924
0.052000 	 306.924
0.054000 	 306.924
0.056000 	 306.924
0.058000 	 306.924
0.060000 	 306.924
0.062000 	 306.924
0.064000 	 306.924
0.066000 	 306.924
0.068000 	 306.924
0.070000 	 306.924
0.072000 	 306.924
0.074000 	 306.924
0.076000 	 306.924
0.078000 	 306.924
0.080000 	 306.924
0.082000 	 303.451
0.084000 	 301.750
0.086000 	 300.894
0.088000 	 300.460
0.090000 	 300.237
0.092000 	 300.123
0.094000 	 300.064
0.096000 	 300.033
0.098000 	 300.017
0.100000 	 300.009
0.102000 	 300.005
0.104000 	 300.002
0.106000 	 300.001
0.108000 	 300.001
0.110000 	 300.000
0.112000 	 300.000
0.114000 	 300.000
0.116000 	 300.000
0.118000 	 300.000
0.120000 	 300.000
0.122000 	 300.000
0.124000 	 300.000
0.126000 	 300.000
0.128000 	 300.000
0.130000 	 300.000
0.132000 	 300.000
0.134000 	 300.000
0.136000 	 300.000
0.138000 	 300.000
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 303.473
0.164000 	 305.175
0.166000 	 306.030
0.168000 	 306.464
0.170000 	 306.687
0.172000 	 306.801
0.174000 	 306.861
0.176000 	 306.891
0.178000 	 306.907
0.180000 	 306.916
0.182000 	 306.920
0.184000 	 306.922
0.186000 	 306.923
0.188000 	 306.924
0.190000 	 306.924
0.192000 	 306.924
0.194000 	 306.924
0.196000 	 306.924
0.198000 	 306.924
0.200000 	 306.924
0.202000 	 306.924
0.204000 	 306.924
0.206000 	 306.924
0.208000 	 306.924
0.210000 	 306.924
0.212000 	 306.924
0.214000 	 306.924
0.216000 	 306.924
0.218000 	 306.924
0.220000 	 306.924
0.222000 	 306.924
0.224000 	 306.924
0.226000 	 306.924
0.228000 	 306.924
0.230000 	 306.924
0.232000 	 306.924
0.234000 	 306.924
0.236000 	 306.924
0.238000 	 306.924
0.240000 	 306.924
