% Cell temperature for the location [die2, x=0.000,y=0.000]
% Nearest [column, row] indices found= [0,0] (locations [x=0.000,y=0.000])
% Time(s) 	 Temperature(K)
0.002000 	 303.764
0.004000 	 305.731
0.006000 	 306.783
0.008000 	 307.353
0.010000 	 307.666
0.012000 	 307.839
0.014000 	 307.936
0.016000 	 307.990
0.018000 	 308.021
0.020000 	 308.039
0.022000 	 308.049
0.024000 	 308.054
0.026000 	 308.057
0.028000 	 308.059
0.030000 	 308.060
0.032000 	 308.061
0.034000 	 308.061
0.036000 	 308.061
0.038000 	 308.061
0.040000 	 308.061
0.042000 	 308.061
0.044000 	 308.061
0.046000 	 308.061
0.048000 	 308.061
0.050000 	 308.061
0.052000 	 308.061
0.054000 	 308.061
0.056000 	 308.061
0.058000 	 308.061
0.060000 	 308.061
0.062000 	 308.061
0.064000 	 308.061
0.066000 	 308.061
0.068000 	 308.061
0.070000 	 308.061
0.072000 	 308.061
0.074000 	 308.061
0.076000 	 308.061
0.078000 	 308.061
0.080000 	 308.061
0.082000 	 304.297
0.084000 	 302.330
0.086000 	 301.278
0.088000 	 300.708
0.090000 	 300.395
0.092000 	 300.222
0.094000 	 300.125
0.096000 	 300.071
0.098000 	 300.040
0.100000 	 300.023
0.102000 	 300.013
0.104000 	 300.007
0.106000 	 300.004
0.108000 	 300.002
0.110000 	 300.001
0.112000 	 300.001
0.114000 	 300.000
0.116000 	 300.000
0.118000 	 300.000
0.120000 	 300.000
0.122000 	 300.000
0.124000 	 300.000
0.126000 	 300.000
0.128000 	 300.000
0.130000 	 300.000
0.132000 	 300.000
0.134000 	 300.000
0.136000 	 300.000
0.138000 	 300.000
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 303.764
0.164000 	 305.731
0.166000 	 306.783
0.168000 	 307.353
0.170000 	 307.666
0.172000 	 307.839
0.174000 	 307.936
0.176000 	 307.990
0.178000 	 308.021
0.180000 	 308.039
0.182000 	 308.049
0.184000 	 308.054
0.186000 	 308.057
0.188000 	 308.059
0.190000 	 308.060
0.192000 	 308.061
0.194000 	 308.061
0.196000 	 308.061
0.198000 	 308.061
0.200000 	 308.061
0.202000 	 308.061
0.204000 	 308.061
0.206000 	 308.061
0.208000 	 308.061
0.210000 	 308.061
0.212000 	 308.061
0.214000 	 308.061
0.216000 	 308.061
0.218000 	 308.061
0.220000 	 308.061
0.222000 	 308.061
0.224000 	 308.061
0.226000 	 308.061
0.228000 	 308.061
0.230000 	 308.061
0.232000 	 308.061
0.234000 	 308.061
0.236000 	 308.061
0.238000 	 308.061
0.240000 	 308.061
