% Cell temperature for the location [die2, x=0.000,y=0.000]
% Nearest [column, row] indices found= [0,0] (locations [x=0.000,y=0.000])
% Time(s) 	 Temperature(K)
0.002000 	 303.359
0.004000 	 305.032
0.006000 	 305.877
0.008000 	 306.306
0.010000 	 306.526
0.012000 	 306.639
0.014000 	 306.698
0.016000 	 306.728
0.018000 	 306.744
0.020000 	 306.752
0.022000 	 306.756
0.024000 	 306.758
0.026000 	 306.760
0.028000 	 306.760
0.030000 	 306.760
0.032000 	 306.761
0.034000 	 306.761
0.036000 	 306.761
0.038000 	 306.761
0.040000 	 306.761
0.042000 	 306.761
0.044000 	 306.761
0.046000 	 306.761
0.048000 	 306.761
0.050000 	 306.761
0.052000 	 306.761
0.054000 	 306.761
0.056000 	 306.761
0.058000 	 306.761
0.060000 	 306.761
0.062000 	 306.761
0.064000 	 306.761
0.066000 	 306.761
0.068000 	 306.761
0.070000 	 306.761
0.072000 	 306.761
0.074000 	 306.761
0.076000 	 306.761
0.078000 	 306.761
0.080000 	 306.761
0.082000 	 303.401
0.084000 	 301.729
0.086000 	 300.884
0.088000 	 300.455
0.090000 	 300.235
0.092000 	 300.122
0.094000 	 300.063
0.096000 	 300.033
0.098000 	 300.017
0.100000 	 300.009
0.102000 	 300.004
0.104000 	 300.002
0.106000 	 300.001
0.108000 	 300.001
0.110000 	 300.000
0.112000 	 300.000
0.114000 	 300.000
0.116000 	 300.000
0.118000 	 300.000
0.120000 	 300.000
0.122000 	 300.000
0.124000 	 300.000
0.126000 	 300.000
0.128000 	 300.000
0.130000 	 300.000
0.132000 	 300.000
0.134000 	 300.000
0.136000 	 300.000
0.138000 	 300.000
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 303.359
0.164000 	 305.032
0.166000 	 305.877
0.168000 	 306.306
0.170000 	 306.526
0.172000 	 306.639
0.174000 	 306.698
0.176000 	 306.728
0.178000 	 306.744
0.180000 	 306.752
0.182000 	 306.756
0.184000 	 306.758
0.186000 	 306.760
0.188000 	 306.760
0.190000 	 306.760
0.192000 	 306.761
0.194000 	 306.761
0.196000 	 306.761
0.198000 	 306.761
0.200000 	 306.761
0.202000 	 306.761
0.204000 	 306.761
0.206000 	 306.761
0.208000 	 306.761
0.210000 	 306.761
0.212000 	 306.761
0.214000 	 306.761
0.216000 	 306.761
0.218000 	 306.761
0.220000 	 306.761
0.222000 	 306.761
0.224000 	 306.761
0.226000 	 306.761
0.228000 	 306.761
0.230000 	 306.761
0.232000 	 306.761
0.234000 	 306.761
0.236000 	 306.761
0.238000 	 306.761
0.240000 	 306.761
