% Cell temperature for the location [die4, x=0.000,y=0.000]
% Nearest [column, row] indices found= [0,0] (locations [x=0.000,y=0.000])
% Time(s) 	 Temperature(K)
0.002000 	 303.839
0.004000 	 305.617
0.006000 	 306.505
0.008000 	 306.955
0.010000 	 307.186
0.012000 	 307.304
0.014000 	 307.366
0.016000 	 307.398
0.018000 	 307.414
0.020000 	 307.423
0.022000 	 307.427
0.024000 	 307.430
0.026000 	 307.431
0.028000 	 307.432
0.030000 	 307.432
0.032000 	 307.432
0.034000 	 307.432
0.036000 	 307.432
0.038000 	 307.432
0.040000 	 307.432
0.042000 	 307.432
0.044000 	 307.432
0.046000 	 307.432
0.048000 	 307.432
0.050000 	 307.432
0.052000 	 307.432
0.054000 	 307.432
0.056000 	 307.432
0.058000 	 307.432
0.060000 	 307.432
0.062000 	 307.432
0.064000 	 307.432
0.066000 	 307.432
0.068000 	 307.432
0.070000 	 307.432
0.072000 	 307.432
0.074000 	 307.432
0.076000 	 307.432
0.078000 	 307.432
0.080000 	 307.432
0.082000 	 303.593
0.084000 	 301.816
0.086000 	 300.928
0.088000 	 300.477
0.090000 	 300.246
0.092000 	 300.128
0.094000 	 300.066
0.096000 	 300.034
0.098000 	 300.018
0.100000 	 300.009
0.102000 	 300.005
0.104000 	 300.002
0.106000 	 300.001
0.108000 	 300.001
0.110000 	 300.000
0.112000 	 300.000
0.114000 	 300.000
0.116000 	 300.000
0.118000 	 300.000
0.120000 	 300.000
0.122000 	 300.000
0.124000 	 300.000
0.126000 	 300.000
0.128000 	 300.000
0.130000 	 300.000
0.132000 	 300.000
0.134000 	 300.000
0.136000 	 300.000
0.138000 	 300.000
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 303.839
0.164000 	 305.617
0.166000 	 306.505
0.168000 	 306.955
0.170000 	 307.186
0.172000 	 307.304
0.174000 	 307.366
0.176000 	 307.398
0.178000 	 307.414
0.180000 	 307.423
0.182000 	 307.427
0.184000 	 307.430
0.186000 	 307.431
0.188000 	 307.432
0.190000 	 307.432
0.192000 	 307.432
0.194000 	 307.432
0.196000 	 307.432
0.198000 	 307.432
0.200000 	 307.432
0.202000 	 307.432
0.204000 	 307.432
0.206000 	 307.432
0.208000 	 307.432
0.210000 	 307.432
0.212000 	 307.432
0.214000 	 307.432
0.216000 	 307.432
0.218000 	 307.432
0.220000 	 307.432
0.222000 	 307.432
0.224000 	 307.432
0.226000 	 307.432
0.228000 	 307.432
0.230000 	 307.432
0.232000 	 307.432
0.234000 	 307.432
0.236000 	 307.432
0.238000 	 307.432
0.240000 	 307.432
