% Cell temperature for the location [die3, x=0.000,y=0.000]
% Nearest [column, row] indices found= [0,0] (locations [x=0.000,y=0.000])
% Time(s) 	 Temperature(K)
0.002000 	 304.090
0.004000 	 306.121
0.006000 	 307.202
0.008000 	 307.789
0.010000 	 308.110
0.012000 	 308.288
0.014000 	 308.387
0.016000 	 308.443
0.018000 	 308.475
0.020000 	 308.493
0.022000 	 308.503
0.024000 	 308.509
0.026000 	 308.512
0.028000 	 308.514
0.030000 	 308.515
0.032000 	 308.516
0.034000 	 308.516
0.036000 	 308.516
0.038000 	 308.516
0.040000 	 308.516
0.042000 	 308.516
0.044000 	 308.516
0.046000 	 308.516
0.048000 	 308.516
0.050000 	 308.516
0.052000 	 308.516
0.054000 	 308.516
0.056000 	 308.516
0.058000 	 308.516
0.060000 	 308.516
0.062000 	 308.516
0.064000 	 308.516
0.066000 	 308.516
0.068000 	 308.516
0.070000 	 308.516
0.072000 	 308.516
0.074000 	 308.516
0.076000 	 308.516
0.078000 	 308.516
0.080000 	 308.516
0.082000 	 304.426
0.084000 	 302.396
0.086000 	 301.314
0.088000 	 300.728
0.090000 	 300.407
0.092000 	 300.228
0.094000 	 300.129
0.096000 	 300.073
0.098000 	 300.041
0.100000 	 300.024
0.102000 	 300.013
0.104000 	 300.008
0.106000 	 300.004
0.108000 	 300.002
0.110000 	 300.001
0.112000 	 300.001
0.114000 	 300.000
0.116000 	 300.000
0.118000 	 300.000
0.120000 	 300.000
0.122000 	 300.000
0.124000 	 300.000
0.126000 	 300.000
0.128000 	 300.000
0.130000 	 300.000
0.132000 	 300.000
0.134000 	 300.000
0.136000 	 300.000
0.138000 	 300.000
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 304.090
0.164000 	 306.121
0.166000 	 307.202
0.168000 	 307.789
0.170000 	 308.110
0.172000 	 308.288
0.174000 	 308.387
0.176000 	 308.443
0.178000 	 308.475
0.180000 	 308.493
0.182000 	 308.503
0.184000 	 308.509
0.186000 	 308.512
0.188000 	 308.514
0.190000 	 308.515
0.192000 	 308.516
0.194000 	 308.516
0.196000 	 308.516
0.198000 	 308.516
0.200000 	 308.516
0.202000 	 308.516
0.204000 	 308.516
0.206000 	 308.516
0.208000 	 308.516
0.210000 	 308.516
0.212000 	 308.516
0.214000 	 308.516
0.216000 	 308.516
0.218000 	 308.516
0.220000 	 308.516
0.222000 	 308.516
0.224000 	 308.516
0.226000 	 308.516
0.228000 	 308.516
0.230000 	 308.516
0.232000 	 308.516
0.234000 	 308.516
0.236000 	 308.516
0.238000 	 308.516
0.240000 	 308.516
