% Cell temperature for the location [die1, x=5000.000,y=4800.000]
% Nearest [column, row] indices found= [100,24] (locations [x=4975.000,y=4800.000])
% Time(s) 	 Temperature(K)
0.002000 	 304.471
0.004000 	 307.391
0.006000 	 309.414
0.008000 	 310.783
0.010000 	 311.682
0.012000 	 312.258
0.014000 	 312.620
0.016000 	 312.844
0.018000 	 312.982
0.020000 	 313.065
0.022000 	 313.115
0.024000 	 313.144
0.026000 	 313.162
0.028000 	 313.172
0.030000 	 313.179
0.032000 	 313.182
0.034000 	 313.184
0.036000 	 313.185
0.038000 	 313.186
0.040000 	 313.187
0.042000 	 313.187
0.044000 	 313.187
0.046000 	 313.187
0.048000 	 313.187
0.050000 	 313.187
0.052000 	 313.187
0.054000 	 313.187
0.056000 	 313.187
0.058000 	 313.187
0.060000 	 313.187
0.062000 	 313.187
0.064000 	 313.187
0.066000 	 313.187
0.068000 	 313.187
0.070000 	 313.187
0.072000 	 313.187
0.074000 	 313.187
0.076000 	 313.187
0.078000 	 313.187
0.080000 	 313.187
0.082000 	 308.716
0.084000 	 305.796
0.086000 	 303.773
0.088000 	 302.404
0.090000 	 301.506
0.092000 	 300.929
0.094000 	 300.567
0.096000 	 300.343
0.098000 	 300.206
0.100000 	 300.122
0.102000 	 300.073
0.104000 	 300.043
0.106000 	 300.025
0.108000 	 300.015
0.110000 	 300.009
0.112000 	 300.005
0.114000 	 300.003
0.116000 	 300.002
0.118000 	 300.001
0.120000 	 300.001
0.122000 	 300.000
0.124000 	 300.000
0.126000 	 300.000
0.128000 	 300.000
0.130000 	 300.000
0.132000 	 300.000
0.134000 	 300.000
0.136000 	 300.000
0.138000 	 300.000
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 304.471
0.164000 	 307.391
0.166000 	 309.414
0.168000 	 310.783
0.170000 	 311.682
0.172000 	 312.258
0.174000 	 312.620
0.176000 	 312.844
0.178000 	 312.982
0.180000 	 313.065
0.182000 	 313.115
0.184000 	 313.144
0.186000 	 313.162
0.188000 	 313.172
0.190000 	 313.179
0.192000 	 313.182
0.194000 	 313.184
0.196000 	 313.185
0.198000 	 313.186
0.200000 	 313.187
0.202000 	 313.187
0.204000 	 313.187
0.206000 	 313.187
0.208000 	 313.187
0.210000 	 313.187
0.212000 	 313.187
0.214000 	 313.187
0.216000 	 313.187
0.218000 	 313.187
0.220000 	 313.187
0.222000 	 313.187
0.224000 	 313.187
0.226000 	 313.187
0.228000 	 313.187
0.230000 	 313.187
0.232000 	 313.187
0.234000 	 313.187
0.236000 	 313.187
0.238000 	 313.187
0.240000 	 313.187
