% Cell temperature for the location [die1, x=5000.000,y=4800.000]
% Nearest [column, row] indices found= [100,24] (locations [x=4975.000,y=4800.000])
% Time(s) 	 Temperature(K)
0.002000 	 304.607
0.004000 	 307.868
0.006000 	 310.374
0.008000 	 312.259
0.010000 	 313.628
0.012000 	 314.589
0.014000 	 315.247
0.016000 	 315.688
0.018000 	 315.978
0.020000 	 316.167
0.022000 	 316.289
0.024000 	 316.367
0.026000 	 316.416
0.028000 	 316.446
0.030000 	 316.466
0.032000 	 316.478
0.034000 	 316.485
0.036000 	 316.490
0.038000 	 316.493
0.040000 	 316.494
0.042000 	 316.495
0.044000 	 316.496
0.046000 	 316.497
0.048000 	 316.497
0.050000 	 316.497
0.052000 	 316.497
0.054000 	 316.497
0.056000 	 316.497
0.058000 	 316.497
0.060000 	 316.497
0.062000 	 316.497
0.064000 	 316.497
0.066000 	 316.497
0.068000 	 316.497
0.070000 	 316.497
0.072000 	 316.497
0.074000 	 316.497
0.076000 	 316.497
0.078000 	 316.497
0.080000 	 316.497
0.082000 	 311.890
0.084000 	 308.629
0.086000 	 306.123
0.088000 	 304.238
0.090000 	 302.870
0.092000 	 301.908
0.094000 	 301.250
0.096000 	 300.809
0.098000 	 300.519
0.100000 	 300.330
0.102000 	 300.208
0.104000 	 300.131
0.106000 	 300.082
0.108000 	 300.051
0.110000 	 300.031
0.112000 	 300.019
0.114000 	 300.012
0.116000 	 300.007
0.118000 	 300.004
0.120000 	 300.003
0.122000 	 300.002
0.124000 	 300.001
0.126000 	 300.001
0.128000 	 300.000
0.130000 	 300.000
0.132000 	 300.000
0.134000 	 300.000
0.136000 	 300.000
0.138000 	 300.000
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 304.607
0.164000 	 307.868
0.166000 	 310.374
0.168000 	 312.259
0.170000 	 313.628
0.172000 	 314.589
0.174000 	 315.247
0.176000 	 315.688
0.178000 	 315.978
0.180000 	 316.167
0.182000 	 316.289
0.184000 	 316.367
0.186000 	 316.416
0.188000 	 316.446
0.190000 	 316.466
0.192000 	 316.478
0.194000 	 316.485
0.196000 	 316.490
0.198000 	 316.493
0.200000 	 316.494
0.202000 	 316.495
0.204000 	 316.496
0.206000 	 316.497
0.208000 	 316.497
0.210000 	 316.497
0.212000 	 316.497
0.214000 	 316.497
0.216000 	 316.497
0.218000 	 316.497
0.220000 	 316.497
0.222000 	 316.497
0.224000 	 316.497
0.226000 	 316.497
0.228000 	 316.497
0.230000 	 316.497
0.232000 	 316.497
0.234000 	 316.497
0.236000 	 316.497
0.238000 	 316.497
0.240000 	 316.497
