% Cell temperature for the location [die1, x=5000.000,y=4800.000]
% Nearest [column, row] indices found= [100,24] (locations [x=4975.000,y=4800.000])
% Time(s) 	 Temperature(K)
0.002000 	 304.716
0.004000 	 308.356
0.006000 	 311.582
0.008000 	 314.472
0.010000 	 317.001
0.012000 	 319.145
0.014000 	 320.905
0.016000 	 322.310
0.018000 	 323.405
0.020000 	 324.243
0.022000 	 324.873
0.024000 	 325.340
0.026000 	 325.684
0.028000 	 325.933
0.030000 	 326.113
0.032000 	 326.242
0.034000 	 326.334
0.036000 	 326.399
0.038000 	 326.445
0.040000 	 326.478
0.042000 	 326.501
0.044000 	 326.517
0.046000 	 326.528
0.048000 	 326.535
0.050000 	 326.541
0.052000 	 326.545
0.054000 	 326.547
0.056000 	 326.549
0.058000 	 326.550
0.060000 	 326.551
0.062000 	 326.552
0.064000 	 326.552
0.066000 	 326.552
0.068000 	 326.552
0.070000 	 326.553
0.072000 	 326.553
0.074000 	 326.553
0.076000 	 326.553
0.078000 	 326.553
0.080000 	 326.553
0.082000 	 321.837
0.084000 	 318.197
0.086000 	 314.971
0.088000 	 312.081
0.090000 	 309.552
0.092000 	 307.408
0.094000 	 305.648
0.096000 	 304.243
0.098000 	 303.148
0.100000 	 302.310
0.102000 	 301.680
0.104000 	 301.213
0.106000 	 300.869
0.108000 	 300.620
0.110000 	 300.440
0.112000 	 300.311
0.114000 	 300.219
0.116000 	 300.154
0.118000 	 300.107
0.120000 	 300.075
0.122000 	 300.052
0.124000 	 300.036
0.126000 	 300.025
0.128000 	 300.018
0.130000 	 300.012
0.132000 	 300.008
0.134000 	 300.006
0.136000 	 300.004
0.138000 	 300.003
0.140000 	 300.002
0.142000 	 300.001
0.144000 	 300.001
0.146000 	 300.001
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 304.716
0.164000 	 308.356
0.166000 	 311.582
0.168000 	 314.472
0.170000 	 317.001
0.172000 	 319.145
0.174000 	 320.905
0.176000 	 322.310
0.178000 	 323.405
0.180000 	 324.243
0.182000 	 324.873
0.184000 	 325.340
0.186000 	 325.684
0.188000 	 325.933
0.190000 	 326.113
0.192000 	 326.242
0.194000 	 326.334
0.196000 	 326.399
0.198000 	 326.445
0.200000 	 326.478
0.202000 	 326.501
0.204000 	 326.517
0.206000 	 326.528
0.208000 	 326.535
0.210000 	 326.541
0.212000 	 326.545
0.214000 	 326.547
0.216000 	 326.549
0.218000 	 326.550
0.220000 	 326.551
0.222000 	 326.552
0.224000 	 326.552
0.226000 	 326.552
0.228000 	 326.552
0.230000 	 326.553
0.232000 	 326.553
0.234000 	 326.553
0.236000 	 326.553
0.238000 	 326.553
0.240000 	 326.553
