% Cell temperature for the location [die2, x=0.000,y=0.000]
% Nearest [column, row] indices found= [0,0] (locations [x=0.000,y=0.000])
% Time(s) 	 Temperature(K)
0.002000 	 303.405
0.004000 	 305.136
0.006000 	 306.034
0.008000 	 306.505
0.010000 	 306.755
0.012000 	 306.889
0.014000 	 306.962
0.016000 	 307.002
0.018000 	 307.023
0.020000 	 307.035
0.022000 	 307.042
0.024000 	 307.045
0.026000 	 307.047
0.028000 	 307.048
0.030000 	 307.049
0.032000 	 307.049
0.034000 	 307.049
0.036000 	 307.049
0.038000 	 307.049
0.040000 	 307.049
0.042000 	 307.049
0.044000 	 307.049
0.046000 	 307.049
0.048000 	 307.049
0.050000 	 307.049
0.052000 	 307.049
0.054000 	 307.049
0.056000 	 307.049
0.058000 	 307.049
0.060000 	 307.049
0.062000 	 307.049
0.064000 	 307.049
0.066000 	 307.049
0.068000 	 307.049
0.070000 	 307.049
0.072000 	 307.049
0.074000 	 307.049
0.076000 	 307.049
0.078000 	 307.049
0.080000 	 307.049
0.082000 	 303.644
0.084000 	 301.913
0.086000 	 301.015
0.088000 	 300.544
0.090000 	 300.294
0.092000 	 300.160
0.094000 	 300.087
0.096000 	 300.048
0.098000 	 300.026
0.100000 	 300.014
0.102000 	 300.008
0.104000 	 300.004
0.106000 	 300.002
0.108000 	 300.001
0.110000 	 300.001
0.112000 	 300.000
0.114000 	 300.000
0.116000 	 300.000
0.118000 	 300.000
0.120000 	 300.000
0.122000 	 300.000
0.124000 	 300.000
0.126000 	 300.000
0.128000 	 300.000
0.130000 	 300.000
0.132000 	 300.000
0.134000 	 300.000
0.136000 	 300.000
0.138000 	 300.000
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 303.405
0.164000 	 305.136
0.166000 	 306.034
0.168000 	 306.505
0.170000 	 306.755
0.172000 	 306.889
0.174000 	 306.962
0.176000 	 307.002
0.178000 	 307.023
0.180000 	 307.035
0.182000 	 307.042
0.184000 	 307.045
0.186000 	 307.047
0.188000 	 307.048
0.190000 	 307.049
0.192000 	 307.049
0.194000 	 307.049
0.196000 	 307.049
0.198000 	 307.049
0.200000 	 307.049
0.202000 	 307.049
0.204000 	 307.049
0.206000 	 307.049
0.208000 	 307.049
0.210000 	 307.049
0.212000 	 307.049
0.214000 	 307.049
0.216000 	 307.049
0.218000 	 307.049
0.220000 	 307.049
0.222000 	 307.049
0.224000 	 307.049
0.226000 	 307.049
0.228000 	 307.049
0.230000 	 307.049
0.232000 	 307.049
0.234000 	 307.049
0.236000 	 307.049
0.238000 	 307.049
0.240000 	 307.049
