% Cell temperature for the location [die3, x=0.000,y=0.000]
% Nearest [column, row] indices found= [0,0] (locations [x=0.000,y=0.000])
% Time(s) 	 Temperature(K)
0.002000 	 303.640
0.004000 	 305.566
0.006000 	 306.636
0.008000 	 307.247
0.010000 	 307.604
0.012000 	 307.816
0.014000 	 307.945
0.016000 	 308.023
0.018000 	 308.071
0.020000 	 308.101
0.022000 	 308.120
0.024000 	 308.132
0.026000 	 308.140
0.028000 	 308.145
0.030000 	 308.148
0.032000 	 308.150
0.034000 	 308.151
0.036000 	 308.152
0.038000 	 308.153
0.040000 	 308.153
0.042000 	 308.153
0.044000 	 308.153
0.046000 	 308.154
0.048000 	 308.154
0.050000 	 308.154
0.052000 	 308.154
0.054000 	 308.154
0.056000 	 308.154
0.058000 	 308.154
0.060000 	 308.154
0.062000 	 308.154
0.064000 	 308.154
0.066000 	 308.154
0.068000 	 308.154
0.070000 	 308.154
0.072000 	 308.154
0.074000 	 308.154
0.076000 	 308.154
0.078000 	 308.154
0.080000 	 308.154
0.082000 	 304.514
0.084000 	 302.587
0.086000 	 301.517
0.088000 	 300.906
0.090000 	 300.549
0.092000 	 300.337
0.094000 	 300.209
0.096000 	 300.131
0.098000 	 300.082
0.100000 	 300.052
0.102000 	 300.033
0.104000 	 300.021
0.106000 	 300.014
0.108000 	 300.009
0.110000 	 300.006
0.112000 	 300.004
0.114000 	 300.002
0.116000 	 300.001
0.118000 	 300.001
0.120000 	 300.001
0.122000 	 300.000
0.124000 	 300.000
0.126000 	 300.000
0.128000 	 300.000
0.130000 	 300.000
0.132000 	 300.000
0.134000 	 300.000
0.136000 	 300.000
0.138000 	 300.000
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 303.640
0.164000 	 305.566
0.166000 	 306.636
0.168000 	 307.247
0.170000 	 307.604
0.172000 	 307.816
0.174000 	 307.945
0.176000 	 308.023
0.178000 	 308.071
0.180000 	 308.101
0.182000 	 308.120
0.184000 	 308.132
0.186000 	 308.140
0.188000 	 308.145
0.190000 	 308.148
0.192000 	 308.150
0.194000 	 308.151
0.196000 	 308.152
0.198000 	 308.153
0.200000 	 308.153
0.202000 	 308.153
0.204000 	 308.153
0.206000 	 308.154
0.208000 	 308.154
0.210000 	 308.154
0.212000 	 308.154
0.214000 	 308.154
0.216000 	 308.154
0.218000 	 308.154
0.220000 	 308.154
0.222000 	 308.154
0.224000 	 308.154
0.226000 	 308.154
0.228000 	 308.154
0.230000 	 308.154
0.232000 	 308.154
0.234000 	 308.154
0.236000 	 308.154
0.238000 	 308.154
0.240000 	 308.154
