% Cell temperature for the location [die2, x=0.000,y=0.000]
% Nearest [column, row] indices found= [0,0] (locations [x=0.000,y=0.000])
% Time(s) 	 Temperature(K)
0.002000 	 303.526
0.004000 	 305.422
0.006000 	 306.480
0.008000 	 307.084
0.010000 	 307.438
0.012000 	 307.648
0.014000 	 307.775
0.016000 	 307.852
0.018000 	 307.900
0.020000 	 307.930
0.022000 	 307.949
0.024000 	 307.961
0.026000 	 307.968
0.028000 	 307.973
0.030000 	 307.976
0.032000 	 307.978
0.034000 	 307.979
0.036000 	 307.980
0.038000 	 307.981
0.040000 	 307.981
0.042000 	 307.981
0.044000 	 307.981
0.046000 	 307.981
0.048000 	 307.982
0.050000 	 307.982
0.052000 	 307.982
0.054000 	 307.982
0.056000 	 307.982
0.058000 	 307.982
0.060000 	 307.982
0.062000 	 307.982
0.064000 	 307.982
0.066000 	 307.982
0.068000 	 307.982
0.070000 	 307.982
0.072000 	 307.982
0.074000 	 307.982
0.076000 	 307.982
0.078000 	 307.982
0.080000 	 307.982
0.082000 	 304.456
0.084000 	 302.560
0.086000 	 301.502
0.088000 	 300.897
0.090000 	 300.544
0.092000 	 300.334
0.094000 	 300.207
0.096000 	 300.130
0.098000 	 300.082
0.100000 	 300.052
0.102000 	 300.033
0.104000 	 300.021
0.106000 	 300.014
0.108000 	 300.009
0.110000 	 300.006
0.112000 	 300.004
0.114000 	 300.002
0.116000 	 300.001
0.118000 	 300.001
0.120000 	 300.001
0.122000 	 300.000
0.124000 	 300.000
0.126000 	 300.000
0.128000 	 300.000
0.130000 	 300.000
0.132000 	 300.000
0.134000 	 300.000
0.136000 	 300.000
0.138000 	 300.000
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 303.526
0.164000 	 305.422
0.166000 	 306.480
0.168000 	 307.084
0.170000 	 307.438
0.172000 	 307.648
0.174000 	 307.775
0.176000 	 307.852
0.178000 	 307.900
0.180000 	 307.930
0.182000 	 307.949
0.184000 	 307.961
0.186000 	 307.968
0.188000 	 307.973
0.190000 	 307.976
0.192000 	 307.978
0.194000 	 307.979
0.196000 	 307.980
0.198000 	 307.981
0.200000 	 307.981
0.202000 	 307.981
0.204000 	 307.981
0.206000 	 307.981
0.208000 	 307.982
0.210000 	 307.982
0.212000 	 307.982
0.214000 	 307.982
0.216000 	 307.982
0.218000 	 307.982
0.220000 	 307.982
0.222000 	 307.982
0.224000 	 307.982
0.226000 	 307.982
0.228000 	 307.982
0.230000 	 307.982
0.232000 	 307.982
0.234000 	 307.982
0.236000 	 307.982
0.238000 	 307.982
0.240000 	 307.982
