% Cell temperature for the location [die2, x=0.000,y=0.000]
% Nearest [column, row] indices found= [0,0] (locations [x=0.000,y=0.000])
% Time(s) 	 Temperature(K)
0.002000 	 304.759
0.004000 	 307.392
0.006000 	 308.918
0.008000 	 309.815
0.010000 	 310.348
0.012000 	 310.667
0.014000 	 310.860
0.016000 	 310.977
0.018000 	 311.049
0.020000 	 311.093
0.022000 	 311.120
0.024000 	 311.137
0.026000 	 311.148
0.028000 	 311.154
0.030000 	 311.158
0.032000 	 311.161
0.034000 	 311.162
0.036000 	 311.163
0.038000 	 311.164
0.040000 	 311.164
0.042000 	 311.164
0.044000 	 311.165
0.046000 	 311.165
0.048000 	 311.165
0.050000 	 311.165
0.052000 	 311.165
0.054000 	 311.165
0.056000 	 311.165
0.058000 	 311.165
0.060000 	 311.165
0.062000 	 311.165
0.064000 	 311.165
0.066000 	 311.165
0.068000 	 311.165
0.070000 	 311.165
0.072000 	 311.165
0.074000 	 311.165
0.076000 	 311.165
0.078000 	 311.165
0.080000 	 311.165
0.082000 	 306.406
0.084000 	 303.773
0.086000 	 302.247
0.088000 	 301.350
0.090000 	 300.817
0.092000 	 300.498
0.094000 	 300.305
0.096000 	 300.188
0.098000 	 300.116
0.100000 	 300.072
0.102000 	 300.044
0.104000 	 300.028
0.106000 	 300.017
0.108000 	 300.011
0.110000 	 300.007
0.112000 	 300.004
0.114000 	 300.003
0.116000 	 300.002
0.118000 	 300.001
0.120000 	 300.001
0.122000 	 300.000
0.124000 	 300.000
0.126000 	 300.000
0.128000 	 300.000
0.130000 	 300.000
0.132000 	 300.000
0.134000 	 300.000
0.136000 	 300.000
0.138000 	 300.000
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 304.759
0.164000 	 307.392
0.166000 	 308.918
0.168000 	 309.815
0.170000 	 310.348
0.172000 	 310.667
0.174000 	 310.860
0.176000 	 310.977
0.178000 	 311.049
0.180000 	 311.093
0.182000 	 311.120
0.184000 	 311.137
0.186000 	 311.148
0.188000 	 311.154
0.190000 	 311.158
0.192000 	 311.161
0.194000 	 311.162
0.196000 	 311.163
0.198000 	 311.164
0.200000 	 311.164
0.202000 	 311.164
0.204000 	 311.165
0.206000 	 311.165
0.208000 	 311.165
0.210000 	 311.165
0.212000 	 311.165
0.214000 	 311.165
0.216000 	 311.165
0.218000 	 311.165
0.220000 	 311.165
0.222000 	 311.165
0.224000 	 311.165
0.226000 	 311.165
0.228000 	 311.165
0.230000 	 311.165
0.232000 	 311.165
0.234000 	 311.165
0.236000 	 311.165
0.238000 	 311.165
0.240000 	 311.165
