% Cell temperature for the location [die1, x=5000.000,y=4800.000]
% Nearest [column, row] indices found= [100,24] (locations [x=4975.000,y=4800.000])
% Time(s) 	 Temperature(K)
0.002000 	 302.688
0.004000 	 304.836
0.006000 	 306.574
0.008000 	 307.957
0.010000 	 309.029
0.012000 	 309.840
0.014000 	 310.440
0.016000 	 310.878
0.018000 	 311.192
0.020000 	 311.415
0.022000 	 311.573
0.024000 	 311.683
0.026000 	 311.759
0.028000 	 311.812
0.030000 	 311.849
0.032000 	 311.873
0.034000 	 311.891
0.036000 	 311.902
0.038000 	 311.910
0.040000 	 311.915
0.042000 	 311.919
0.044000 	 311.921
0.046000 	 311.923
0.048000 	 311.924
0.050000 	 311.925
0.052000 	 311.925
0.054000 	 311.926
0.056000 	 311.926
0.058000 	 311.926
0.060000 	 311.926
0.062000 	 311.926
0.064000 	 311.926
0.066000 	 311.926
0.068000 	 311.926
0.070000 	 311.926
0.072000 	 311.926
0.074000 	 311.926
0.076000 	 311.926
0.078000 	 311.926
0.080000 	 311.926
0.082000 	 311.505
0.084000 	 311.009
0.086000 	 310.512
0.088000 	 310.058
0.090000 	 309.673
0.092000 	 309.364
0.094000 	 309.126
0.096000 	 308.947
0.098000 	 308.816
0.100000 	 308.721
0.102000 	 308.653
0.104000 	 308.605
0.106000 	 308.571
0.108000 	 308.548
0.110000 	 308.532
0.112000 	 308.520
0.114000 	 308.513
0.116000 	 308.507
0.118000 	 308.504
0.120000 	 308.501
0.122000 	 308.500
0.124000 	 308.499
0.126000 	 308.498
0.128000 	 308.497
0.130000 	 308.497
0.132000 	 308.497
0.134000 	 308.497
0.136000 	 308.496
0.138000 	 308.496
0.140000 	 308.496
0.142000 	 308.496
0.144000 	 308.496
0.146000 	 308.496
0.148000 	 308.496
0.150000 	 308.496
0.152000 	 308.496
0.154000 	 308.496
0.156000 	 308.496
0.158000 	 308.496
0.160000 	 308.496
0.162000 	 308.918
0.164000 	 309.414
0.166000 	 309.911
0.168000 	 310.365
0.170000 	 310.750
0.172000 	 311.058
0.174000 	 311.297
0.176000 	 311.475
0.178000 	 311.607
0.180000 	 311.702
0.182000 	 311.770
0.184000 	 311.818
0.186000 	 311.851
0.188000 	 311.875
0.190000 	 311.891
0.192000 	 311.902
0.194000 	 311.910
0.196000 	 311.915
0.198000 	 311.919
0.200000 	 311.921
0.202000 	 311.923
0.204000 	 311.924
0.206000 	 311.925
0.208000 	 311.925
0.210000 	 311.926
0.212000 	 311.926
0.214000 	 311.926
0.216000 	 311.926
0.218000 	 311.926
0.220000 	 311.926
0.222000 	 311.926
0.224000 	 311.926
0.226000 	 311.926
0.228000 	 311.926
0.230000 	 311.926
0.232000 	 311.926
0.234000 	 311.926
0.236000 	 311.926
0.238000 	 311.926
0.240000 	 311.926
